STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013882,1/1/1992,0,0,0,37,46,28
USW00013882,1/2/1992,1.54,0,0,47.5,52,43
USW00013882,1/3/1992,0.71,0,0,48,50,46
USW00013882,1/4/1992,0.01,0,0,50.5,54,47
USW00013882,1/5/1992,0,0,0,47,51,43
USW00013882,1/6/1992,0,0,0,45.5,54,37
USW00013882,1/7/1992,0,0,0,43.5,55,32
USW00013882,1/8/1992,0.04,0,0,39.5,51,28
USW00013882,1/9/1992,0,0,0,49.5,57,42
USW00013882,1/10/1992,0,0,0,38.5,48,29
USW00013882,1/11/1992,0,0,0,37.5,49,26
USW00013882,1/12/1992,0.29,0,0,36,44,28
USW00013882,1/13/1992,0.6,0,0,52,60,44
USW00013882,1/14/1992,0,0,0,45,58,32
USW00013882,1/15/1992,0,0,0,34.5,43,26
USW00013882,1/16/1992,0,0,0,20.5,29,12
USW00013882,1/17/1992,0,0,0,33,46,20
USW00013882,1/18/1992,0,0,0,32,39,25
USW00013882,1/19/1992,0,0,0,30.5,40,21
USW00013882,1/20/1992,0,0,0,36,53,19
USW00013882,1/21/1992,0,0,0,42.5,61,24
USW00013882,1/22/1992,0.35,0,0,45,60,30
USW00013882,1/23/1992,0.7,0,0,47.5,53,42
USW00013882,1/24/1992,0,0,0,36,45,27
USW00013882,1/25/1992,0,0,0,42.5,62,23
USW00013882,1/26/1992,0,0,0,42,53,31
USW00013882,1/27/1992,0.06,0,0,44,53,35
USW00013882,1/28/1992,0.03,0,0,51.5,60,43
USW00013882,1/29/1992,0,0,0,52,64,40
USW00013882,1/30/1992,0,0,0,50.5,64,37
USW00013882,1/31/1992,0,0,0,48.5,62,35
USW00013882,2/1/1992,0,0,0,43.5,52,35
USW00013882,2/2/1992,0,0,0,43.5,59,28
USW00013882,2/3/1992,0,0,0,48,66,30
USW00013882,2/4/1992,0,0,0,50.5,70,31
USW00013882,2/5/1992,0,0,0,48,55,41
USW00013882,2/6/1992,0,0,0,47.5,62,33
USW00013882,2/7/1992,0,0,0,43,57,29
USW00013882,2/8/1992,0,0,0,33.5,43,24
USW00013882,2/9/1992,0,0,0,32.5,45,20
USW00013882,2/10/1992,0,0,0,37,53,21
USW00013882,2/11/1992,0,0,0,46,61,31
USW00013882,2/12/1992,0,0,0,46.5,60,33
USW00013882,2/13/1992,0.35,0,0,47,50,44
USW00013882,2/14/1992,0.3,0,0,51.5,55,48
USW00013882,2/15/1992,0.75,0,0,58.5,65,52
USW00013882,2/16/1992,0,0,0,48,60,36
USW00013882,2/17/1992,0.4,0,0,41,48,34
USW00013882,2/18/1992,0.02,0,0,47.5,50,45
USW00013882,2/19/1992,0,0,0,49,56,42
USW00013882,2/20/1992,0,0,0,45,58,32
USW00013882,2/21/1992,0,0,0,47,66,28
USW00013882,2/22/1992,0,0,0,50,68,32
USW00013882,2/23/1992,1.29,0,0,59,68,50
USW00013882,2/24/1992,0,0,0,58,68,48
USW00013882,2/25/1992,1.26,0,0,52,55,49
USW00013882,2/26/1992,0.26,0,0,44.5,53,36
USW00013882,2/27/1992,0,0,0,43,57,29
USW00013882,2/28/1992,0,0,0,50,66,34
USW00013882,2/29/1992,0,0,0,49,61,37
USW00013882,3/1/1992,0,0,0,48.5,67,30
USW00013882,3/2/1992,0,0,0,54.5,75,34
USW00013882,3/3/1992,0,0,0,57.5,76,39
USW00013882,3/4/1992,0,0,0,64.5,77,52
USW00013882,3/5/1992,0.04,0,0,57.5,69,46
USW00013882,3/6/1992,0.3,0,0,61.5,71,52
USW00013882,3/7/1992,0,0,0,64,75,53
USW00013882,3/8/1992,0,0,0,61.5,78,45
USW00013882,3/9/1992,0,0,0,61.5,76,47
USW00013882,3/10/1992,0.74,0,0,49,69,29
USW00013882,3/11/1992,0,0,0,32.5,41,24
USW00013882,3/12/1992,0,0,0,40.5,54,27
USW00013882,3/13/1992,0,0,0,38,46,30
USW00013882,3/14/1992,0,0,0,43.5,59,28
USW00013882,3/15/1992,0,0,0,42,55,29
USW00013882,3/16/1992,0,0,0,41.5,56,27
USW00013882,3/17/1992,0,0,0,52.5,74,31
USW00013882,3/18/1992,1.63,0,0,55,59,51
USW00013882,3/19/1992,0.41,0,0,54,64,44
USW00013882,3/20/1992,0,0,0,45.5,55,36
USW00013882,3/21/1992,0,0,0,44,59,29
USW00013882,3/22/1992,0.7,0,0,47.5,52,43
USW00013882,3/23/1992,0,0,0,43.5,52,35
USW00013882,3/24/1992,0,0,0,44.5,60,29
USW00013882,3/25/1992,0.56,0,0,44,48,40
USW00013882,3/26/1992,0.07,0,0,53.5,63,44
USW00013882,3/27/1992,0.01,0,0,47.5,55,40
USW00013882,3/28/1992,0,0,0,47.5,62,33
USW00013882,3/29/1992,0.11,0,0,50,60,40
USW00013882,3/30/1992,0.32,0,0,51.5,57,46
USW00013882,3/31/1992,0,0,0,48.5,57,40
USW00013882,4/1/1992,0,0,0,45,56,34
USW00013882,4/2/1992,0,0,0,37.5,47,28
USW00013882,4/3/1992,0,0,0,39,53,25
USW00013882,4/4/1992,0,0,0,53,68,38
USW00013882,4/5/1992,0,0,0,49.5,62,37
USW00013882,4/6/1992,0,0,0,50.5,62,39
USW00013882,4/7/1992,0.35,0,0,52.5,57,48
USW00013882,4/8/1992,0,0,0,63,75,51
USW00013882,4/9/1992,0,0,0,62.5,79,46
USW00013882,4/10/1992,0,0,0,65,80,50
USW00013882,4/11/1992,0,0,0,69.5,80,59
USW00013882,4/12/1992,0.13,0,0,67.5,82,53
USW00013882,4/13/1992,0,0,0,65,78,52
USW00013882,4/14/1992,0,0,0,67.5,80,55
USW00013882,4/15/1992,0.1,0,0,72.5,84,61
USW00013882,4/16/1992,0,0,0,68.5,82,55
USW00013882,4/17/1992,0,0,0,69.5,83,56
USW00013882,4/18/1992,0,0,0,68,82,54
USW00013882,4/19/1992,0.2,0,0,66,73,59
USW00013882,4/20/1992,0.81,0,0,68.5,76,61
USW00013882,4/21/1992,0.33,0,0,63,75,51
USW00013882,4/22/1992,0,0,0,60.5,76,45
USW00013882,4/23/1992,0,0,0,64,82,46
USW00013882,4/24/1992,0.05,0,0,68.5,84,53
USW00013882,4/25/1992,0,0,0,56,65,47
USW00013882,4/26/1992,0,0,0,48.5,53,44
USW00013882,4/27/1992,0.06,0,0,49.5,55,44
USW00013882,4/28/1992,0,0,0,49.5,60,39
USW00013882,4/29/1992,0,0,0,51,69,33
USW00013882,4/30/1992,0.05,0,0,63.5,78,49
USW00013882,5/1/1992,0,0,0,69,85,53
USW00013882,5/2/1992,0,0,0,67.5,83,52
USW00013882,5/3/1992,0,0,0,69.5,80,59
USW00013882,5/4/1992,0.03,0,0,62,78,46
USW00013882,5/5/1992,0,0,0,54.5,67,42
USW00013882,5/6/1992,0.13,0,0,52.5,61,44
USW00013882,5/7/1992,0.44,0,0,48,51,45
USW00013882,5/8/1992,0.36,0,0,48,53,43
USW00013882,5/9/1992,0,0,0,59,76,42
USW00013882,5/10/1992,0,0,0,64,82,46
USW00013882,5/11/1992,0,0,0,66,82,50
USW00013882,5/12/1992,0.12,0,0,67,81,53
USW00013882,5/13/1992,0,0,0,68,76,60
USW00013882,5/14/1992,0,0,0,69,83,55
USW00013882,5/15/1992,0,0,0,70.5,83,58
